virus,treatment,material,temperature,humidity,time,dilution,replicate,virus_detect,comment,target_temperature,caron_chamber,experiment_id,evap_class_id,transient_class_id,material_id,titer_id,replicate_set_id,target_humidity
SARS-CoV-2,Untreated,Plastic,10,40,0,0,1,1,"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",10,TRUE,1,1,1,1,1,1,0.4
SARS-CoV-2,Untreated,Plastic,10,40,0,0,1,1,"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",10,TRUE,1,1,1,1,1,1,0.4
SARS-CoV-2,Untreated,Plastic,10,40,0,0,1,1,"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",10,TRUE,1,1,1,1,1,1,0.4
SARS-CoV-2,Untreated,Plastic,10,40,0,0,1,1,"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",10,TRUE,1,1,1,1,1,1,0.4
SARS-CoV-2,Untreated,Plastic,10,40,0,-1,1,1,"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",10,TRUE,1,1,1,1,1,1,0.4
SARS-CoV-2,Untreated,Plastic,10,40,0,-1,1,1,"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",10,TRUE,1,1,1,1,1,1,0.4
SARS-CoV-2,Untreated,Plastic,10,40,0,-1,1,1,"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",10,TRUE,1,1,1,1,1,1,0.4
SARS-CoV-2,Untreated,Plastic,10,40,0,-1,1,1,"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",10,TRUE,1,1,1,1,1,1,0.4
SARS-CoV-2,Untreated,Plastic,10,40,0,-2,1,1,"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",10,TRUE,1,1,1,1,1,1,0.4
SARS-CoV-2,Untreated,Plastic,10,40,0,-2,1,1,"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",10,TRUE,1,1,1,1,1,1,0.4
SARS-CoV-2,Untreated,Plastic,10,40,0,-2,1,1,"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",10,TRUE,1,1,1,1,1,1,0.4
SARS-CoV-2,Untreated,Plastic,10,40,0,-2,1,1,"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",10,TRUE,1,1,1,1,1,1,0.4
SARS-CoV-2,Untreated,Plastic,10,40,0,-3,1,0,"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",10,TRUE,1,1,1,1,1,1,0.4
SARS-CoV-2,Untreated,Plastic,10,40,0,-3,1,0,"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",10,TRUE,1,1,1,1,1,1,0.4
SARS-CoV-2,Untreated,Plastic,10,40,0,-3,1,0,"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",10,TRUE,1,1,1,1,1,1,0.4
SARS-CoV-2,Untreated,Plastic,10,40,0,-3,1,0,"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",10,TRUE,1,1,1,1,1,1,0.4
SARS-CoV-2,Untreated,Plastic,10,40,0,-4,1,0,"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",10,TRUE,1,1,1,1,1,1,0.4
SARS-CoV-2,Untreated,Plastic,10,40,0,-4,1,0,"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",10,TRUE,1,1,1,1,1,1,0.4
SARS-CoV-2,Untreated,Plastic,10,40,0,-4,1,0,"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",10,TRUE,1,1,1,1,1,1,0.4
SARS-CoV-2,Untreated,Plastic,10,40,0,-4,1,0,"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",10,TRUE,1,1,1,1,1,1,0.4
SARS-CoV-2,Untreated,Plastic,10,40,0,-5,1,0,"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",10,TRUE,1,1,1,1,1,1,0.4
